  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
726603 04974 201303150152 190   6 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   33   26 ****** 30.05 1009.6 *** *** ***** ***** ***** ***** ** 
726603 04974 201303150213 180   3 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   33   26 ****** 30.04 1009.2 *** *** ***** ***** ***** ***** ** 
726603 04974 201303150232 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   32   26 ****** 30.03 1008.9 *** *** ***** ***** ***** ***** ** 
726603 04974 201303150252 180   3 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   32   26 ****** 30.02 1008.5 *** *** ***** ***** ***** ***** ** 
726603 04974 201303150312 190   3 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   32   26 ****** 30.02 1008.5 *** *** ***** ***** ***** ***** ** 
726603 04974 201303150332 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   31   26 ****** 30.02 1008.5 *** *** ***** ***** ***** ***** ** 
726603 04974 201303150352 ***   0 *** 722 CLR * * *  7.0 ** ** ** ** ** ** ** ** *   31   25 ****** 30.02 1008.5 *** *** ***** ***** ***** ***** ** 
726603 04974 201303150412 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   32   26 ****** 30.02 1008.5 *** *** ***** ***** ***** ***** ** 
726603 04974 201303150432 ***   0 *** 722 CLR * * *  7.0 ** ** ** ** ** ** ** ** *   30   26 ****** 30.03 1008.9 *** *** ***** ***** ***** ***** ** 
726603 04974 201303150452 ***   0 *** 722 CLR * * *  7.0 ** ** ** ** ** ** ** ** *   30   26 ****** 30.02 1008.5 *** *** ***** ***** ***** ***** ** 
726603 04974 201303150512 ***   0 *** 722 CLR * * *  7.0 ** ** ** ** ** ** ** ** *   30   26 ****** 30.01 1008.2 *** *** ***** ***** ***** ***** ** 
726603 04974 201303150532 ***   0 *** 722 CLR * * *  7.0 ** ** ** ** ** ** ** ** *   30   26 ****** 30.01 1008.2 *** *** ***** ***** ***** ***** ** 
726603 04974 201303150552 ***   0 *** 722 CLR * * *  7.0 ** ** ** ** ** ** ** ** *   31   26 ****** 30.00 1007.9 *** *** ***** ***** ***** ***** ** 
726603 04974 201303150612 ***   0 *** 722 CLR * * *  7.0 ** ** ** ** ** ** ** ** *   31   26 ****** 30.00 1007.9 *** *** ***** ***** ***** ***** ** 
726603 04974 201303150632 ***   0 *** 722 CLR * * *  7.0 ** ** ** ** ** ** ** ** *   31   27 ****** 29.99 1007.5 *** *** ***** ***** ***** ***** ** 
726603 04974 201303150652 ***   0 *** 722 CLR * * *  7.0 ** ** ** ** ** ** ** ** *   32   26 ****** 29.98 1007.2 *** *** ***** ***** ***** ***** ** 
726603 04974 201303150712 ***   0 *** 722 CLR * * *  7.0 ** ** ** ** ** ** ** ** *   32   26 ****** 29.97 1006.9 *** *** ***** ***** ***** ***** ** 
726603 04974 201303150732 ***   0 *** 722 CLR * * *  7.0 ** ** ** ** ** ** ** ** *   31   27 ****** 29.97 1006.9 *** *** ***** ***** ***** ***** ** 
